,Ratings,Title,Content
2,5.0 out of 5 stars,Basically Waterproof (According to I) !,"







  
  
    One day, I was at the poolside listening to music with these AirPods. It was 80°, not a single cloud in the sky. I enjoyed the heat, but decided to jump into the pool to cool off. As I’m completely submerged in water, I realized my music was still playing in my ears… underwater. Of course, the longer I stayed under water, I realized that the audio was cutting out. So then I frantically get them out onto the side of the pool away from the water. I dried it off with a towel, and let it sit for a little bit. Then, I got onto my golf cart to go back home and popped my AirPods back in. Both AirPods survived the water. I lived happily ever after.Thanks
  
"
3,5.0 out of 5 stars,Consistency & Ease of Use are the best with Airpods..like it or not.,"







  
  
    I'm not honestly a fan of Apple & the way they force some of their ideas on us, but in some cases, they're just unbeatable. When you compare AirPods to every other product out there, nothing is easier to pair, works better or longer and more consistently than these. I don't care about wireless charging myself, but having Bluetooth 5.0 is a worthwhile improvement over the 1st gen for both range and power usage. For what it's worth, I don't think the sound quality is great for music, but they're just fine for conversations.
  
"
4,5.0 out of 5 stars,A skeptic converted!,"







  
  
    Okay, so I bought these after my third pair of cheaper wireless headphones broke. I was getting tired of ones that attached and had the cord that went around my neck. Hence, I decided to search the internet for the best headphones that would work for listening to music/audio books while working out or doing things around the house. I finally decided to try out the AirPods since they had such great reviews, and because they were on sale. When I received the AirPods, I was surprised at how well they actually fit in my ears. I had worried about them falling out, and though they have fallen out a few times due to my children rough housing and landing on my head, they have worked great for walking around the house and exercising. The sound quality is really amazing, and I am pleasantly surprised at how quickly they charge. I will update this once I've had them longer than a few weeks, but I am extremely impressed with them so far. I was extremely skeptical at first, but I'm very glad I decided to get them!
  
"
5,5.0 out of 5 stars,"Baby, give me one more chance...","







  
  
    I just love my Apple AirPods!  This is the second set I’ve owned. My first set survived one falling into the dishwater (it still worked!), one falling into the toilet (I know—eww! But after fishing it out of a clean toilet with clean water and being disinfected—yes, it still worked!) and one falling into a 425* oven—well, no that one did not survive. Before I could decide if I wanted to risk third degree burns by attempting to rescue my precious AirPod, it slid down under the bottom plate of the oven and burst into flames within seconds. So, here I am buying my second set, and for a great price. I am not a snob when it comes to sound quality (I had a $39 cheap knockoff that I was perfectly happy with, and I still use my wired ear buds from time to time) but after my husband bought me my first set of AirPods I realized how superior the sound is. Easy to pair up with Bluetooth devices and I have no problem wearing them for hours at a time. My biggest problem is—you guessed it, they fall out sometimes—at the worst moments!  Hubby’s told me he won’t buy me anymore if I have another “accident”, but we’ll see...
  
"
6,5.0 out of 5 stars,Worth the Money,"







  
  
    I didn't know if these were worth the money considering that these seemed like glorified regular earbuds. I actually like these better. While the price is high, it seems worth it in my couple months of owning them. I got these for my first semester at college to ignore people and listen to bomb ass music without looking too broke. FIrst off, these are pretty good with noise canceling. I can hear people sometimes if the music is low enough, but the sound is more muffled. It is great when I want to pay attention to my work or ignore people as they tune out people and they also make it a universal sign of ""don't talk to me"" which is great when I don't want to talk to others in public. Even if I'm not listening to music! The other great thing is the fact that it's quick to charge and the battery life is pretty good!In comparison to regular earbuds or even headphones is the fact that they are easy to pack and easy to access. Headphones are bulky and generally awkward (for me at least) to have around the neck. However, airpods are really easy to put in and then when you are done using them, you put them back in the small compact case. Another is the lack of wire. I don't know about you, but for me the lack of wire is much easier. When I am in the mood to listen to something with my earbuds, I no longer need to un-knot the earbuds but simply take them out of the case. So like I said, I really like these and enjoy the easy access and the small compactness of this as well as the increase in sound quality and battery life. If I could rate this out of 10, I would give it an honest 10.
  
"
7,5.0 out of 5 stars,LOVE - But recharge twice a day.,"







  
  
    Oh my gosh there was a short sale and my Hubby got these for me for Mother's Day and I could not be happier!!!!Pros:* NO WIRES (until you need to charge the case itself)* These are the only in-ear headphones I can use, everything else gives me headaches after a short while.* They fit snug and very rarely fall out.* Charges last half a day of continuous listening to music* Sound clarity is very good!  Callers can hear me better than from my phone by itself because of the case, and much better than my car's mic.* Recharging is very short, less than 15 minutes to fully charge inside it's case - less than an hour and the case is good to recharge the ear pieces for a 2 day period without a wall socket.* LightweightCons:* White shows EVERYTHING!  Every spec of dust, every fragment of ear wax will show up from space!* The charge on the ear pieces only seems to last 5-6 hours at most, maybe only 4 with non-stop listening at a higher volume* Sometimes the ear pieces lose battery and die even while not connected to anything, if not in their case.* Sometimes one earbud seems to lose charge before the other and I still am not sure why?  Stereo sound?* These do not cancel sound very well - I don't believe that is part of the design anyway, but worth mentioning that if you are trying to drown out noisy, gossiping co-workers, airplane humming, or highway tire rumbling, you'll want OVER EAR headphones.
  
"
8,1.0 out of 5 stars,What a disappointment.,"







  
  
    Will not stay in your ears. Also one will not come on now and is not charging properly.
  
"
9,5.0 out of 5 stars,Love these!,"







  
  
    I waited a long, long time before buying “Apple” ear pods. I have used Skull Candy, Soundpeats, and a host of others. They all have their little quirks and variations. The Apple ones do as well, but not nearly as many. Overall, the quality of these is awesome. The sound is great, it allows for pass through sound so I can listen to music and still hear what’s going on around me, and the charge lasts for several hours.The downside(s). First, my ears don’t necessarily fit these (or the wired ones that always came with the iPhones), so I have to adjust and push these in every once in a while. I know that’s why they came out with the pro ones with the plastic ear bud. Those will be the next pair I get. Secondly, live listen works great, with one caveat. I would have imagined that the mic used would have been the mics on the ear buds themselves. Nope. It uses your phone mic. So, if you put your phone in your pocket and have live listen on, you hear the phone shuffling around in your pocket. In other words, you have to leave your phone out (laying on your desk, holding it in your hand, etc.) in order to use it with any success. Maybe that changes on other models, but for these, it makes the live listen almost pointless. I want to be hands free, with my phone in my pocket, but be able to hear someone if they talk to me. Not sure what else the concept would have been used for in using the phone mic.Other than those issues, I really have no complaints. The case charges the pods quickly and multiple times, so you can continue to use them for a long time. Again, sound quality is as good, if not better, than any other ear buds I’ve used. You can set what the functions are, so tapping the right ear twice can mean whatever you want versus tapping the left ear twice.I am really pleased with these and would recommend them.
  
"
0,5.0 out of 5 stars,Great for Calls and casual Listening; Tough for a Hardcore Workout,"







  
  
    The title of this review kind of says it all--these AirPods are amazing for everyday things like phone calls, listening to music while travelling, and other low-impact activities. The sound is really great, linking them to my iPhone was super easy, and the battery life is really good. If you're looking to ditch the corded headphones and you're someone on the go, this is a fantastic purchase.All that said, I originally bought them because I was looking to hit the gym pretty darn hard to get rid of some of my Covid padding. When I work out, I get really sweaty (ya girl is working HARD), so I find that halfway through my workout, they don't always stay in my ears very well. I make it work, but there are some points where the ear piece feels like it's going to come flying out of my ear if I don't stop and adjust.I'm still going to give these 5 stars because they are pretty awesome, and I use them for so many other thinks outside of working out, but if you're looking for some AirPods to use while working out and you're a sweaty Betty, I'd look to get ones that are built with a bit more of a sports mode.
  
"
1,5.0 out of 5 stars,Best Apple Product I purchased from Amazon,"







  
  
    I was a little skeptical about buying apple products from amazon because I wasn't sure if it was going to be legit. But I was definitely proved wrong. I was originally going to purchase my AirPods through apple but to be honest, I found a cheaper price through Amazon. So I decided instead of paying $159+$29 (apple care+) + $15.04 (tax to ship to my location) Equaling it all out to $203.04.  I decided to buy the AirPods from Apple's store via Amazon for a total of $136.72 ( $128.98+ $7.74 (TAX). I also purchased AppleCare + for Headphones ( 2 Years ) Protection(A Must Have whenever buying anything Apple! It will save you a lot of money and heartache if something goes wrong!!) for $31.32 ($29.00 + $2.32 (TAX). So the total price of everything would have been $168.04 ; But I had 2 gift cards (one for $18.68 and one for $136.72) which knocked the prices of the AppleCare insurance down to $12.64 and the AirPods down to $0.00.  The great thing about being an Amazon Prime Member is most of the  time you don't have to pay for shipping!!!. I read the reviews for these AirPods and a lot of people were saying to make sure it says ""PRIME"" before you buy and that was definitely worth it. I've always wanted a pair of AirPods ever since they came out but I didn't want to rush to buy them when my other apple headphones that came with my iPhone 7 Plus (that I've had since 2018 with no problems) were working just fine. Of course with any pair of wired headphones, there is always the wires getting tangled. But luckily with AirPods you don't have that issue.  I wouldn't say I'm cheap but when it comes to products that are of excellent quality and are built to last like Apple; It is definitely worth spending a good amount of cash for them. So all in all, I save a ton of money and my AirPods work like a dream. I Love My New Toy.
  
"
2,5.0 out of 5 stars,Love these!,"







  
  
    I was reluctant to spend this much on a non-necessity for myself but I am so glad that I did. I listen to podcasts all day at work and only wear one headphone so I am still able to communicate. I am on my feet all day running around. I used to wear corded headphones and would snag the cord if it was popping out of my shirt and it would rip the bud out of my ear and I would go through sets quickly.Now that I have these I am able to leave one in the case and switch them out as one dies so there is always one charged. The charge lasts about 6 hours  per bud and between the buds and the case, I am only plugging them in to charge about every 4 days. With these I am able to set up a queue of my podcasts and keep my phone in my desk all day. I have the double tap feature set up to pause on both so I can easily stop my podcasts to have a conversation. I love not having my phone on me or cords hanging from me. They sound great and I can’t think of a single issue I’ve had with them over the past 6 or so months. Maybe there are more affordable versions but so far I am loving these. I would highly recommend them and can’t imagine how the newer/more expensive versions could be any better :)
  
"
3,5.0 out of 5 stars,Very satisfied,"







  
  
    These bevies are the right thing to do. I have tried so many other and wasted my money. The noise cancellation when worn with the mike down is not as strong as when worn upside down. Try them, it is a new experience. I wore my wired pods upside down for the same reason, they seal your ear canal to the outside noise and don’t hurt your ears. Of course every one is anatomically different, but it is my experience. Great product. A little expensive in price, but worth every penny. The sound is amazing, they did not look like they have the quality of sound, but they do.
  
"
4,5.0 out of 5 stars,"Pricey but great fit, and the sound is very very good","







  
  
    These are the Apple Airpods Gen-2, not wireless charging, and not the Pro (I hate the round rubber tips that everyone seems to love).  First of all, these are very easy to use.  The sound is fantastic.  I suppose I am an audiophile since I love music... the sound is clear, balanced, and the bass is very present.  The advantage is that the design of these airpods does not require you to jam rubber tips in your ears, and the quality of the sound is therefore dependent on the tips staying in place; which, most of the time they do not.  If I have to keep reaching up to readjust the buds for a better sound, what happened to the hands-free experience? Also, I am not sure what some people do to get the Apple Airpods Gen-2 to fall out of their ears.  I have literally tried to accomplish that and unless you go full-on metal head mode I don't think you can do it.  So, let me make it easy for you, and do take my word... I have read reviews by people who were using, and listening to God knows what.  Pros:Great sound, easy to use, nice size case... some tws earbuds have those cases that are so huge, YEESH! Also, very secure and comfortable fit.  Cons:  the Voice Memos app on the iPhone is affected... when you record with those on you will get a sound as though you were on the other side of a phone line and not in the same room.  They are great for working out and listening to your music, podcasts, etc, also, only one gesture per earbud.  I found the Ticpods and will try them today.  They have the same Apple design... no crazy rubber tips.  You get a lot more gestures, and if the sound is like that of Apple I will be returning my Apple airpods. Update, the sound of those pods was not in anyway bad, the fit was ok, slightly too large,  and I prefer the opened balanced Apple sound. The tick pods gave me more of the Bose sound, it’s not as opened, it’s more compressed.  Last... I don't care about noise cancelation... unless I am on a plane; and even then... I hate to purposefully deprive myself of one of my so important senses; it intuitively feels like a really bad idea.  Here is an update A few months later:  The Apple AirPods are simply a wonderful product. I know they’re pricey but they’re that good. The sound, the fit, the look, great
  
"
5,5.0 out of 5 stars,Best Prime Day Purchase,"







  
  
    There are much better reviews to read, but I wanted to clear something up. First, I’m not an audiophile and mostly am using these to listen to books as I do other things. However, they are much easier to use than other wireless earbuds I have bought before; just pair once and they remain paired. Take one out if somebody is talking to you, put it back in and it starts up in the same place. Battery is long lasting and just a few minutes of top off can get you more hours. You can hear background noises of course, so you don’t feel isolated. I really can’t speak to noise cancellation so I gave it a three star review but others are more knowledgeable.The one thing I wanted to clear up-these earbuds are 2nd gen, but maybe the case is 1st gen. I think that is confusing some people. The charging light is inside and it’s wired to charge, but when you look under settings you can see the actual earbuds are 2nd gen.Mine were new and definitely from Apple. Oh, and I have small ears and normally find earbuds painful but I’ve been wearing these for two days without issues. My only problem is that I have very long hair and if I sweep it back I sometimes knock one out. When I’m home it’s normally in a ponytail so no big problem. I may get something to keep them around my neck when I use them outside of the house and it’s something long-haired men and women might need to think about.I didn’t realize how annoying having tangled wires for earbuds was. I should have gotten two pair, one for home and one for out. Oh well, next Prime Day!
  
"
6,5.0 out of 5 stars,amazing,"


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    








  
  
     the sound quality is great and everything is perfect came with no scratches or anything like that and it automatically connects which is why my vid cut short when i opened it. definitely not fake or bootleg, definitely recommend ✅!
  
"
7,5.0 out of 5 stars,Great combination of functionality and price,"







  
  
    I bought these for multiple uses: music, podcasts, conference calls and watching training and YouTube videos.  I’m sure someone who is knowledgeable in audio products could better vouch for the sound quality of these versus the newer versions, I’m just an everyday guy and these work perfectly for all the uses I’ve mentioned.I’m an Apple ecosystem guy, and the seamless and instant pairing and compatibility were the main reason I got these instead of knock offs.  I’ve tried the cheap route before and from intermittent pairing/dropping, to being completely unable to use with multiple devices, and these were worth the extra money to avoid that.They average about 2-4 hours of use per charge, and with the quick recharge of the case I’ve never had to worry about dead earphones.  I love these, the newer versions might be technically better, but for the value I don’t think you can beat these.
  
"
8,5.0 out of 5 stars,GREAT for running!!!!,"







  
  
    I LOVE THESE! I have been wanting to go wireless for running, and my partner and I wanted to each wear one of the set as we ran together. He was paranoid that these would fall out, so we tried two other types first (jaybird Runs - JUNK in every way, and Apple beats - way too quiet and hurt my ears). I finally convinced him to give these a shot, and they have been amazing! They do not budge at all when we run, the sound quality is impeccable, and they are soooo comfortable! The connectivity is somewhat less strong than the Beats, but plenty enough for our use. A few people mentioned about the microphone quality being subpar, but I have to disagree! I used them today during a conference call for work, while I was walking on the treadmill, and I came through loud and clear without background noise. So happy with this purchase - wish I had done it sooner!!!!!
  
"
9,5.0 out of 5 stars,Bluetooth freedom is way better than being wired to the music source,"







  
  
    Easy to set up and easy to use. Pods have a substantial weight and feel good in the ear.  Sound quality is high fidelity. Intuitive controls -tap for next selection, ask it to raise or lower volume and it does. A full charge gives ample battery life for a +/- 6-hour listening session, Recharge quickly and, generally worthy of the Apple brand. Recommend buying an aftermarket accessory kit with a silicone cover for the charger and a lariat to allow you to hang the Airpods around your neck for a short time when you want to.UPDATE MY REVIEW:  I have been enjoying my Apple AirPods for almost a year now and I want to add this to my initial review.After purchasing my AirPods, I purchased a silicone sleeve for the charger case with came with a Caribiner and a lariat to hold the Airpods and allow them to hang around my neck when I took them out of earsA few days ago I attached the carabiner to the belt loop of my jeans for an afternoon of cycling and at the end of the day,  I tossed the jeans into the wash not realizing the AirPods were still attached to the belt loop. After washing the jeans I threw them in the dryer and within a few minutes, I began to hear something solid banging around in the dryer. Upon opening the dryer, I found the silicone charger case  - empty. Searching the clothes, I discovered the charger case with the Airpods inside.I took the silicone case and the AirPods Charger out of the dryer and was very sure they were destroyed - they were NOT!  I opened the case and put the AirPods in my ears and was shocked to discover they worked as well as ever and they had no indication of damge at all.The AirPods are obviously water-resistant - My thanks to the Apple engineers for anticipating they would be used by careless old men who do some stupid things.
  
"
0,5.0 out of 5 stars,"Yeah, I wear these to bed.","







  
  
    I usually wear earbuds on low volume to bed to counter my tinnitus. It helps me sleep with soothing music. I started out with wired earbuds, but many times switching positions in bed pulled the cord out of my device, which was not good.Now I have these. I got the 2nd gen because reviews said 3rd gen were less comfortable and looser for some people and I didn't want them falling out as I slept. They work great. During the middle of the night, the power gives out, but I'm sound asleep by then. They've only fell out of my ears a few times. The nice thing is that I can switch positions in bed without worrying about the cord!
  
"
1,5.0 out of 5 stars,My Wife Loves Them,"







  
  
    I bought these for my wife as a present and she absolutely loves them.  She has smaller ears and it's hard for her to find comfortable earphones.  She really liked the ones that come with iPhones but she would catch the wire on everything.  I bought her some Bluetooth ones that just didn't fit right so she never used them.These were exactly what she needed.  The fit her smaller ears and keep her cord-free.  They utilize touch controls on the side of the headphones that are not buttons.  The case is just the right size to carry them in a pocket or purse and it even charges the headphones when you are storing them, even when the case is not plugged in.  So, when it says ""wired"" in the description, it means that you charge the case via USB but when you unplug it, it has its own battery that charges the ear-buds.  She's been using them for a couple of weeks so far and I don't think she has charged the case more than once.Yes, they are a bit pricey but they are definitely worth it to make her happy.
  
"
2,5.0 out of 5 stars,The default choice for a reason,"







  
  
    I held out for so long on buying a pair of AirPods, I always felt like they were priced a little too high for what you get at the end of the day. I get it now though, their value is more in how these work with all your other Apple hardware than it is from the AirPods themselves.These are still to this day in 2021, one of the smallest charging cases of a pair of true wireless headphones, even though the design is unchanged from 2016 when they were announced alongside the iPhone 7/7 Plus. That’s pretty incredible for back then.In the box, you get a standard USB A to Lightning cable, the AirPods and charging case. This is the 2nd generation AirPods with the H1 chip on board for “hey Siri” functionality. It works really well and allows the AirPods to seamlessly switch between any iOS devices, TVOS, WatchOS, and newer MacOS devices. If they are connected to your iPhone and you pull out your iPad to watch a quick video, the audio from that video would be automatically routed through the Airpods. This is after the initial setup, which only requires you to hold down the pairing button and then follow the prompts in the on screen pop ups. If you open the charging case within a few inches of an iOS device, you get a cute little pop up that will display the battery level of both the AirPods and the case. Apple’s software is good and pleasant to use, that is why products like these are worth their premium prices- the tight integration of hardware and software working together to create an amazing experience that is largely unrivaled today by any other tech company.The sound quality here is good, the open style of these headphones makes it easy to hear the world around you (this can be both good and bad). There are better sounding headphones for this price, but not any that work this way. If sound quality is of great importance, perhaps look at the AirPods Pro or wait a few months until they refresh the base level AirPods with a design that has the ear tips (this is a rumor, but it’s probably a safe bet that the entry level AirPods will get a major design change).These also tie into Airplay 2, and this allows for audio sharing where one iPhone can play audio on 2 sets of AirPods. There are also other little perks like Siri will read out you iMessages to you (this can be paused or turned off entirely). There is a cool accessibility option called “live listen” you can enable it in control center. This will use your iPhone’s microphones to play the audio it hears into the AirPods. This kind of gives it an ambient or pass through mode like headphones with ANC have.If you do pick these up in 2021, just be aware that this is a nearly 2 year old product and could be replaced with a newer version as soon as March. No one ever really knows what Apple will release or when, but the chances are high. That said though, the H1 chip is likely to still be used in the soon to be released pair, so there shouldn’t be a huge difference in terms of new features.
  
"
3,5.0 out of 5 stars,Wow,"







  
  
    This thing performs well in all of the standard headphone categories like:- great sound quality- stays in ears (at least mine - i'm a normal sized guy, 5'10"" 190lbs)- great battery life- fast charging- great noise cancelling- works amazing as a 2-way (i use it for conference calls while walking down busy streets and airports all the time and rarely get people saying that background noise is distracting)Where this thing blows away all competition is just the magic of how effortlessly it works.  Open the case lid and your phone asks you if you want to set up your new AirPods.  Once it's set up, pop them in your ear and whatever you were playing on the phone goes to your AirPods.  Then pop them out and whatever you were listening to automatically pauses.  You get helpful little sounds when the battery starts running down.  To charge them, just pop them back into their case (which itself stores probably 4 or 5 full charges for the headphones) and they'll be workable again in about a minute, and fully charged in about 10 minutes.  (I haven't actually timed this, that's just anecdotal)I get that there are much cheaper wireless headphones out there but anyone who has ever used AirPods can tell you these are another level of convenience and quality.  Once you use these you'll never go back to non-Apple products, at least not for use with an iPhone.
  
"
4,5.0 out of 5 stars,Great quality and longevity,"







  
  
    I’ve had several pairs of AirPods. These are my favorite. I’m comparing them to the first gen, obvious these are an upgrade. Also, I’ve had the pros, did not like them as they fell out of my ear all the time, even with differing sized ear inserts. I own the Airpod 3 too- same problem of them falling out.The 2’s are a perfect fit for my ear as well and the pro and 3’s are painful after about 45 minutes. The controls are superior in my opinion. Tap, double tap- excellent idea and works great. The squeeze on the pro and 3, odd decision practicality-wise as you have to squeeze a specific part of the AirPods which can and does cause it to loosen in your ear and more easily fall out. Not sure why Apple did that or continues to.Only thing these don’t have is noise canceling. Doesn’t bother me though, I don’t like/need that feature. I hope they keep making the 2nd gen, I’ll keep buying them. Best on the market at the moment.
  
"
5,5.0 out of 5 stars,Some creations cannot be improved upon!,"







  
  
    Though these are from the 2nd generation, they are perfection! They stay nestled in my ear as no other headphone can do! I have tried without success all the headphones that are crammed into the ear canal! Alas none stay in! But the design of the Apple AirPod stay nestled in my ear! To say I love them is an understatement! They have revolutionized my listening experience. Wonderful sound and ease of use, they are with me wherever I go. I would not say they cancel all sound, nor do I desire that outcome. The battery life is about five hours of listening time and they charge at lightening speed.
  
"
6,5.0 out of 5 stars,"Super handy and convenient, everyone with an Apple device should have these","







  
  
    As an audiophile, I resisted getting these for a long time.  But they don’t sound bad and the convenience and ease of use is off the charts.  AirPods are a very well designed and useful accessory to any Apple device.  Battery life is acceptable given their tiny size.I bought them first for my wife, who’s never had true wireless ear buds and doesn’t care as much about sound quality as me. She’s also not particularly into gadgets and tech like I am.  She loves these things like the sister she never had.We both find that they fit well, stay put, and are comfortable, and our ears are very different size & shape.When I’m doing serious listening to music, I have other earphones I can use.  Otherwise, I reach for the AirPods because they’re so easy and a joy to use.  I’m happy I bought them.They also work great for cellular phone calls and for Zoom meetings.
  
"
7,5.0 out of 5 stars,These are amazing,"


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    








  
  
     I was scared getting these because I thought they were going to be fake but they are not fake. So happy that I got them for a good deal instead of going to somewhere else to get them for a lot more.  Ok overall, they’re not fake they’re real and quality is good the batteries for the earbuds and the case was 79% and 76% which was pretty. I’m so excited these are my first pair and I am looking forward to see how well they work
  
"
8,5.0 out of 5 stars,My life is complete now!,"







  
  
    Greatest earphones ever!I don’t know how I ever lived without these, seriously, not just the earphones but the great little case that they come in that charges your ear buds even when it’s not plugged in so perfect to have when you’re traveling.The ear buds not only allow you you to  call people by simply saying “hey Siri” but it answers any questions, it reads and composed text messages if I ask, it plays music etc. etc.  Simply ask and you shall receive.I can now cook with my hands full while dancing to the beat of any song I ask Siri to play, ask Siri to take notes for me or even help give me recipe ideas.Once you’ve used these you will also ask yourself how you ever lived without it as it makes your life so much easier.The sound is fantastic  along with the noise reduction and whomever I’m speaking with hears me well.These are pricey but I assure you they are worth every penny you pay.
  
"
9,5.0 out of 5 stars,Happy with these,"







  
  
    I expected to not get the same sound quality out of these as the wired version since they are the same design and it's bluetooth.  But, along with my now HD audio Amazon music account (thank you Apple!) the music sounds great!  I like the integration with Siri so that she reads texts that come in and announces calls.  Double tap feature is configurable, like my left ear is stop/start and right ear is next track.  Also, if you take one out, whatever is playing, music or video stops and then starts when you pop it back in.  Additionally, I like this ""old"" design because those new squishy rubber tipped things never stay in my ears.  Battery life is pretty good.  I haven't measured it, but I can usually get away with all day with occasional listening.  Cons: sound is a little less bass heavy, but there still is some, definitely not ""tinny"".  Battery could be better, but I mean they are tiny.  Very little to complain about really, definitely happy with this purchase, I recommend them.
  
"
0,5.0 out of 5 stars,Daughter approved,"


















    
        

        
        
            
        

        
            
            
                




{""videoWidth"":0,""videoUrl"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/076496d2-432e-4022-992d-1058d2cabc7b/default.jobtemplate.hls.m3u8"",""clientPrefix"":""vse_reviews_desktop_r3rn3lmwyg4ts_1659075471625"",""awaConfig"":{""useUpNextComponent"":false,""initialVideo"":""R3RN3LMWYG4TS"",""shouldPreload"":true,""isChromelessPlayer"":false,""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off""},""isVideoImmersivePlayer"":false,""skipInitialFocus"":false,""disabledViewIds"":[""replayHint""],""customerId"":""0"",""containerId"":""vse_reviews_desktop_r3rn3lmwyg4ts_1659075471625-player-20e81377-a0ec-4866-a414-b99027bcee76"",""requestMetadata"":{""marketplaceId"":""ATVPDKIKX0DER"",""clientId"":""VSE-US"",""method"":""cr_inline_review"",""requestId"":""64B14YQ474JC921HNYES"",""pageAsin"":"""",""sessionId"":""135-9934607-4102518""},""shouldLoop"":false,""shouldDisableControls"":false,""alwaysSetInitialVideo"":true,""clientPrefix"":"""",""useAutoplayFallback"":false,""sushiMetricsConfig"":{""isRobot"":false,""clientId"":""VSE-US"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""135-9934607-4102518"",""refMarkers"":""vse_reviews_desktop_R3RN3LMWYG4TS_1659075471625_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""ATVPDKIKX0DER"",""isInternal"":false,""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""64B14YQ474JC921HNYES"",""customerId"":""0"",""sessionType"":1},""ospLinkCode"":"""",""languageCode"":""en"",""version"":"""",""shouldStartMuted"":false,""airyVersion"":""VideoJS"",""languagePreferenceStrings"":{},""enableInactiveFocus"":true,""isReactFactory"":false,""enableDelphiAttribution"":false,""shouldAutoplay"":false},""imageUrl"":""https://m.media-amazon.com/images/I/51HoAzVwvhL._SY256._SY256.jpg"",""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off""},""needPlayerFactory"":false,""sushiMetricsConfig"":{""isRobot"":false,""clientId"":"""",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""135-9934607-4102518"",""refMarkers"":""vse_reviews_desktop_R3RN3LMWYG4TS_1659075471625_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""ATVPDKIKX0DER"",""isInternal"":false,""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""64B14YQ474JC921HNYES"",""customerId"":""0"",""sessionType"":1},""mimeType"":""application/x-mpegURL"",""isMobile"":false,""videoHeight"":0}Video Player is loading.Play VideoPlayMuteCurrent Time /Duration Loaded: 0%Stream Type LIVESeek to live, currently behind liveLIVERemaining Time - 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions and subtitles off, selectedAudio TrackFullscreenThis is a modal window.


            
        
    
    








  
  
     I was leery of purchasing these based on reviews stating the received used ones but, I am glad I did. They arrived still sealed and in original Apple packaging.I bought these for my 15 year old daughter and she loves them. They paired easily with her phone  She loves the sound quality and they appear to have a good battery life. She uses her AirPods daily and both sides are still working.
  
"
